process_name,pain_proportion ,process_number,responsible
25. Revisar la información y documentos anexos para iniciar el proceso de estructuración de los términos de referencia. Responsable: (Abogado OGC),0.34615384615384615,25,Abogado OGC
4. Validar la correcta información del Plan de compras  (Responsable: Líder de área),0.34615384615384615,4,Líder de área
72. Radicar documentos físicos en Bancóldex para validación por parte de la OGC. (Responsable: Proveedor seleccionado),0.34782608695652173,72,Proveedor seleccionado
28. Tiempo de entrega de los términos de referencia definitivos Responsable: (OGC),0.38461538461538464,28,OGC
2. Determinar el presupuesto requerido para adelantar la contratación. (Responsable: Líder de área - Gestor presupuestal),0.38461538461538464,2,Líder de área - Gestor presupuestal
53. Recolectar vistos buenos para la recomendación técnica Responsable: (usuario contratación),0.391304347826087,53,usuario contratación
14. Solicitud y asignación de la recomendación técnica dentro del equipo del DTI (Responsable: TI - Ingeniero asignado),0.4230769230769231,14,TI - Ingeniero asignado
16. Tiempo de entrega de la recomendación técnica (Responsable: usuario contratación),0.4230769230769231,16,usuario contratación
15. Estructuración y aprobación de la recomendación técnica dentro del equipo del DTI (Responsable: TI - Ingeniero asignado),0.46153846153846156,15,TI - Ingeniero asignado
56. Firmar la carta de aceptación Responsable: (Representante legal),0.4782608695652174,56,Representante legal
10. Establecer claramente los criterios de evaluación del proceso (Responsable: usuario contratación),0.5,10,usuario contratación
"23. Aprobar el documento de elaboración de términos de referencia por las áreas intervinientes (Responsable: OSI, ORO, OGC y usuario contratación)",0.5,23,"OSI, ORO, OGC y usuario contratación"
55. Recolectar vistos buenos para la carta de aceptación Responsable: (usuario contratación),0.5217391304347826,55,usuario contratación
74. Gestionar recolección de los vistos buenos en el contrato/orden (Responsable: usuario contratación),0.5217391304347826,74,usuario contratación
70. Firmar en notaria el contrato/orden (Responsable: Proveedor seleccionado),0.5217391304347826,70,Proveedor seleccionado
8. Iniciar el proceso de contratación dentro del tiempo presupuestado. (Responsable: usuario contratación),0.5769230769230769,8,usuario contratación
"67. Tiempo de elaboración de contrato/orden (Responsable: DSA, OGC, OSI, ORO, OGT y usuario contratación)",0.6086956521739131,67,"DSA, OGC, OSI, ORO, OGT y usuario contratación"
